TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,year,month,day,wday
2014-12-11,VR,53.21,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,2014,12,11,Thu
2014-12-09,VR,53.12,tesco pfs 2484,************8143,K020,Vehicle Fuel,RV14R,Mobile Night Care Service,A00,2014,12,9,Tue
2014-12-09,VR,64.81,bush  service station,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,9,Tue
2014-12-12,VR,34.5,esso perry barr service s,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,12,Fri
2014-12-15,VR,76.17,shell aqueduct,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,15,Mon
2014-12-16,VR,42.35,esso perry barr service s,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,16,Tue
2014-12-22,VR,79.43,esso perry barr service s,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,22,Mon
2014-12-23,VR,51.43,esso perry barr service s,************2997,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,23,Tue
2014-12-03,VR,61.52,tesco pfs 2484,************5507,K020,Vehicle Fuel,RV11Y,"Marsh Lane Dce, 79, B23",A00,2014,12,3,Wed
2014-12-10,VR,74.37,tesco pfs 2484,************5507,K020,Vehicle Fuel,RV11Y,"Marsh Lane Dce, 79, B23",A00,2014,12,10,Wed
2014-12-16,VR,61.96,tesco pfs 2484,************5507,K020,Vehicle Fuel,RV11Y,"Marsh Lane Dce, 79, B23",A00,2014,12,16,Tue
2014-12-05,VR,61.1,tex city sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2014,12,5,Fri
2014-12-15,VR,59.1,tex city sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2014,12,15,Mon
2014-12-23,VR,59.37,tex city sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2014,12,23,Tue
2014-12-04,VR,83.62,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,2014,12,4,Thu
2014-12-08,VR,51.77,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,2014,12,8,Mon
2014-12-15,VR,81.11,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,2014,12,15,Mon
2014-12-07,VZ,6.99,viewbix,************7557,H000,Staff Advert Exp,RVA0K,Admin Support,A00,2014,12,7,Sun
2014-12-17,VR,473.24,sbk uk ltd,************7557,L100,Equip Operational,RVA0K,Admin Support,A00,2014,12,17,Wed
2014-12-04,VR,81.77,esso perry barr service s,************8063,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2014,12,4,Thu
2014-12-04,VR,53.41,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,2014,12,4,Thu
